time,pwm,ax,ay,az,gx,gy,gz,vibration,label
2925608,150,0.0023,-0.1139,-0.0416,-6.82,5.71,4.19,0.1360,1
2925618,150,-0.0064,0.0250,0.0398,0.80,3.69,0.60,0.1222,1
2925628,150,0.0872,-0.0390,0.0762,1.46,1.56,-0.31,0.1168,1
2925638,150,0.0956,0.0913,0.0576,-1.27,0.26,2.67,0.1137,1
2925648,150,0.1125,-0.0059,0.1252,-0.21,5.98,10.12,0.1217,1
2925658,150,-0.0900,0.0202,0.1436,3.78,8.73,3.61,0.1292,1
2925668,150,-0.0906,-0.0279,0.0098,0.61,2.02,-16.54,0.1195,1
2925678,150,-0.0945,0.1047,-0.1895,-2.95,3.32,10.41,0.1399,1
2925688,150,-0.1499,0.0337,-0.2082,-6.49,5.98,6.11,0.1581,1
2925698,150,0.0761,-0.1719,0.0081,-0.01,-0.01,-0.01,0.1666,1
2925708,150,-0.0984,0.1593,-0.1708,1.40,3.31,9.57,0.1808,1
2925718,150,-0.0288,0.0949,0.0789,-3.16,0.63,-3.04,0.1846,1
2925728,150,0.0234,0.0608,-0.1145,-1.69,5.37,16.66,0.1853,1
2925738,150,-0.0554,0.0475,0.0869,-1.91,4.58,-2.46,0.1831,1
2925748,150,0.2643,-0.1876,-0.0076,-1.97,-1.97,-1.97,0.2030,1
2925758,150,-0.0003,0.1553,-0.0336,-4.56,-0.91,11.40,0.2020,1
2925767,150,-0.0003,0.1553,-0.0336,-4.56,-0.91,11.40,0.2060,1
2925778,150,0.0624,0.0224,0.0131,-1.73,2.02,0.24,0.1932,1
2925788,150,0.1612,0.0336,0.0029,-3.18,-4.71,-1.14,0.1826,1
2925797,150,0.1612,0.0336,0.0029,-3.18,-4.71,-1.14,0.1803,1
2925808,150,-0.0268,0.0521,-0.0136,0.54,2.46,4.89,0.1626,1
2925818,150,0.0174,0.0515,-0.0171,-2.56,1.05,-0.05,0.1586,1
2925828,150,-0.0824,0.0247,0.0425,-1.35,6.31,5.64,0.1560,1
2925838,150,-0.0455,-0.0110,0.0620,-1.15,2.17,-0.92,0.1538,1
2925848,150,0.0064,0.0225,-0.1113,-4.72,0.39,2.73,0.1201,1
2925858,150,-0.0338,-0.0384,-0.0345,-4.29,5.34,11.27,0.1109,1
2925868,150,0.1315,-0.0871,0.0924,-1.75,-3.69,-5.43,0.1145,1
2925878,150,0.0967,0.0752,0.1309,1.39,1.31,-7.36,0.1259,1
2925888,150,-0.0121,0.0003,0.1422,1.69,5.83,6.97,0.1232,1
2925898,150,-0.0511,-0.0016,0.0741,1.68,6.66,-1.76,0.1153,1
2925908,150,-0.1666,0.0128,-0.2007,-6.26,2.85,6.71,0.1405,1
2925918,150,-0.0847,0.0723,-0.1223,-1.02,3.65,7.05,0.1488,1
2925928,150,0.0414,-0.0551,-0.0579,-7.19,2.17,4.34,0.1485,1
2925938,150,-0.0453,-0.0273,0.0822,-0.24,5.63,7.58,0.1497,1
2925948,150,-0.1433,0.1634,-0.0944,-3.21,3.72,8.08,0.1635,1
2925958,150,-0.0737,0.0468,-0.0095,-2.66,1.66,6.14,0.1646,1
2925968,150,-0.0171,0.0399,-0.0874,0.50,2.24,5.86,0.1572,1
2925978,150,0.0349,0.1291,-0.0071,-4.27,-0.91,-1.02,0.1526,1
2925988,150,-0.0574,0.0351,-0.0656,-1.63,2.34,1.09,0.1488,1
2925998,150,0.1631,-0.0251,0.0215,-2.09,-3.34,1.56,0.1553,1
2926008,150,-0.0878,-0.0387,-0.0948,-4.63,3.56,-0.08,0.1382,1
2926018,150,0.0075,0.0269,0.0162,-3.64,0.41,4.53,0.1284,1
2926028,150,-0.0399,-0.0213,0.0143,-0.48,5.26,3.43,0.1260,1
2926038,150,-0.0782,0.0517,0.0169,-0.91,5.30,0.66,0.1259,1
2926048,150,0.0095,-0.0660,-0.0279,-1.69,4.29,4.42,0.1037,1
2926148,150,-0.0110,0.0113,-0.0193,-1.02,1.28,-1.10,0.0943,1
2926158,150,-0.0110,0.0113,-0.0193,-1.02,1.28,-1.10,0.0943,1
2926158,150,-0.0110,0.0113,-0.0193,-1.02,1.28,-1.10,0.0943,1
2926158,150,-0.0528,0.0996,-0.0815,-1.65,4.04,7.27,0.1032,1
08,150,-0.1473,0.0614,-0.1246,-1.11,5.11,3.87,0.1199,1
29262108,150,-0.1473,0.0614,-0.1246,-1.11,5.11,3.87,0.1199,1
29262108,150,-0.1473,0.0614,-0.1246,-1.11,5.11,3.87,0.1199,1
29262108,150,-0.1473,0.0614,-0.1246,-1.11,5.11,3.87,0.1199,1
2926218,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
8,150,-0.0505,0.0017,-0.0616,-2.67,5.04,-2.37,0.1122,1
