time,pwm,ax,ay,az,gx,gy,gz,vibration,label
808904,0,-0.0281,-0.0201,0.0025,-2.59,1.62,1.04,0.0413,2
808914,0,0.0259,-0.0580,-0.0799,-7.85,-7.85,-7.85,0.0497,2
808924,0,-0.0374,0.0159,0.0129,-2.59,2.15,1.53,0.0498,2
808934,0,0.0232,-0.0452,-0.0170,-3.01,2.41,-2.02,0.0513,2
808944,0,-0.0304,-0.0019,0.0011,-1.05,1.90,3.09,0.0500,2
808954,0,0.0163,-0.0392,-0.0331,-2.66,1.72,5.84,0.0516,2
808964,0,-0.0287,0.0017,-0.0154,-0.91,1.53,5.58,0.0520,2
808974,0,-0.0041,-0.0077,-0.0309,-2.71,1.15,4.56,0.0517,2
808984,0,-0.0132,-0.0329,-0.0267,-1.87,1.23,7.37,0.0532,2
808994,0,-0.0165,0.0108,0.0089,-0.41,3.44,-0.74,0.0497,2
809004,0,0.0264,-0.0144,-0.0077,-2.11,2.93,-2.61,0.0494,2
809014,0,-0.0385,-0.0136,0.0216,-1.58,2.24,0.29,0.0402,2
809024,0,0.0292,-0.0325,-0.0323,-1.83,2.44,4.98,0.0416,2
809034,0,-0.0065,-0.0108,-0.0322,-1.91,0.97,5.92,0.0395,2
809044,0,0.0276,-0.0185,-0.0319,-2.59,1.54,2.83,0.0410,2
809054,0,-0.0327,-0.0014,-0.0073,-1.56,1.40,3.27,0.0388,2
809064,0,0.0252,-0.0323,-0.0050,-2.53,3.24,1.32,0.0396,2
809124,0,-0.0060263,-0.0224,-0.0326,-1.32,1.74,6.94,0.0418,2
809124,0,-0.0060263,-0.0224,-0.0326,-1.32,1.74,6.94,0.0418,2
809124,0,-0.0060263,-0.0224,-0.0326,-1.32,1.74,6.94,0.0418,2
809124,0,-0.0062,0.0146,0.0088,-1.54,3.65,0.45,0.0385,2
810133,0,-0.0062,0.0146,0.0088,-1.54,3.65,0.45,0.0374,2
810136,0,0.0000,-0.0306,-0.0433,-2.08,4.38,12.73,0.0383,2
810195,0,-0.0127,0.0298,0.0214,-0.76,0.79,-7.07,0.0347,2
810205,0,-0.0165,-0.0114,-0.0386,-4.02,-0.51,-9.03,0.0342,2
810385,0,-0.0273,0.0083,0.0096,-2.73,3.18,1.91,0.0292,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
810395,0,-0.0104,-0.0167,-0.0137,-3.07,2.61,3.63,0.0298,2
811966,0,-0.1237,0.1044,0.0199,-3.29,5.17,-6.18,0.1458,2
811976,0,-0.0921,0.0012,-0.0577,-11.21,0.93,-7.28,0.1493,2
811986,0,-0.0865,0.0653,-0.0245,-5.36,2.38,-7.53,0.1529,2
812046,0,0.0394,-0.0727,-0.0225,-4.61,1.91,-0.61,0.0987,2
812056,0,-0.0118,-0.0586,-0.0073,-2.11,2.69,7.02,0.0920,2
812166,0,-0.0222,0.0456,-0.0422,-12.92,3.66,8.45,0.1651,2
812176,0,0.0253,-0.1620,0.0468,-6.50,1.29,7.79,0.1712,2
812186,0,-0.0712,0.3023,-0.0491,-1.84,2.85,8.56,0.1963,2
812286,0,0.0181,0.0103,-0.03,0.0004,-5.68,3.22,1.76,0.14
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
812296,0,-0.0196,-0.0761,0.0138008,-8.78,-0.47,3.10,0.1092,2
